"","sexo","codmunocor","causabas","n","cod_cat","categoria","subcategoria","ipea","municipio","total","uf_codigo","taxa_incidencia"
"20","Masculino","520010","V499",2,"V49","Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados","Ocupante [qualquer] de um automóvel [carro], traumatizado em um acidente de trânsito não especificado","Acidentes de transporte","Abadiânia",10031,"52",0.000199381916060213
"21","Masculino","520010","V892",3,"V89","Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)","Pessoa traumatizada em um acidente de trânsito com um veículo a motor não especificado","Acidentes de transporte","Abadiânia",10031,"52",0.00029907287409032
"22","Masculino","520010","W209",1,"W20","Impacto causado por objeto lançado, projetado ou em queda","Impacto causado por objeto lançado, projetado ou em queda - local não especificado","Todas as outras causas externas","Abadiânia",10031,"52",9.96909580301067e-05
"23","Masculino","520010","W770",2,"W77","Risco a respiração devido a desmoronamento, queda de terra e de outras substâncias","Risco a respiração devido a desmoronamento, queda de terra e de outras substâncias - residência","Todas as outras causas externas","Abadiânia",10031,"52",0.000199381916060213
"24","Masculino","520010","X709",2,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - local não especificado","Lesões autoprovocadas intencionalmente","Abadiânia",10031,"52",0.000199381916060213
"25","Masculino","520010","X954",2,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Abadiânia",10031,"52",0.000199381916060213
"26","Masculino","520010","X959",3,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - local não especificado","Agressões","Abadiânia",10031,"52",0.00029907287409032
"27","Masculino","520013","V134",2,"V13","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete - condutor traumatizado em um acidente de trânsito","Acidentes de transporte","Acreúna",11307,"52",0.000176881577783674
"28","Masculino","520013","V239",2,"V23","Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete","Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete - motociclista não especificado traumatizado em um acidente de trânsito","Acidentes de transporte","Acreúna",11307,"52",0.000176881577783674
"29","Masculino","520013","V244",1,"V24","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - condutor traumatizado em um acidente de trânsito","Acidentes de transporte","Acreúna",11307,"52",8.84407888918369e-05
"30","Masculino","520013","V245",1,"V24","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - passageiro traumatizado em um acidente de trânsito","Acidentes de transporte","Acreúna",11307,"52",8.84407888918369e-05
"31","Masculino","520013","V249",1,"V24","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus - motociclista não especificado traumatizado em um acidente de trânsito","Acidentes de transporte","Acreúna",11307,"52",8.84407888918369e-05
"32","Masculino","520013","V299",1,"V29","Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados","Motociclista [qualquer] traumatizado em um acidente de trânsito não especificado","Acidentes de transporte","Acreúna",11307,"52",8.84407888918369e-05
"33","Masculino","520013","V489",2,"V48","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito","Acidentes de transporte","Acreúna",11307,"52",0.000176881577783674
"34","Masculino","520013","V892",2,"V89","Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)","Pessoa traumatizada em um acidente de trânsito com um veículo a motor não especificado","Acidentes de transporte","Acreúna",11307,"52",0.000176881577783674
"35","Masculino","520013","W697",1,"W69","Afogamento e submersão em águas naturais","Afogamento e submersão em águas naturais - fazenda","Afogamento e submersão acidentais","Acreúna",11307,"52",8.84407888918369e-05
"36","Masculino","520013","W749",1,"W74","Afogamento e submersão não especificados","Afogamento e submersão não especificados - local não especificado","Afogamento e submersão acidentais","Acreúna",11307,"52",8.84407888918369e-05
"37","Masculino","520013","W879",1,"W87","Exposição a corrente elétrica não especificada","Exposição a corrente elétrica não especificada - local não especificado","Todas as outras causas externas","Acreúna",11307,"52",8.84407888918369e-05
"38","Masculino","520013","X610",1,"X61","Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte","Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte - residência","Lesões autoprovocadas intencionalmente","Acreúna",11307,"52",8.84407888918369e-05
"39","Masculino","520013","X950",3,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - residência","Agressões","Acreúna",11307,"52",0.000265322366675511
"40","Masculino","520013","X954",2,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Acreúna",11307,"52",0.000176881577783674
"41","Masculino","520013","X998",1,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - outros locais especificados","Agressões","Acreúna",11307,"52",8.84407888918369e-05
"42","Masculino","520013","Y009",1,"Y00","Agressão por meio de um objeto contundente","Agressão por meio de um objeto contundente - local não especificado","Agressões","Acreúna",11307,"52",8.84407888918369e-05
"43","Masculino","520013","Y094",1,"Y09","Agressão por meios não especificados","Agressão por meios não especificados - rua e estrada","Agressões","Acreúna",11307,"52",8.84407888918369e-05
"44","Masculino","520013","Y350",1,"Y35","Intervenção legal","Intervenção legal envolvendo o uso de armas de fogo","Intervenções legais e operações de guerra","Acreúna",11307,"52",8.84407888918369e-05
"45","Masculino","520015","X950",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - residência","Agressões","Adelândia",1275,"52",0.000784313725490196
"46","Masculino","520015","X957",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - fazenda","Agressões","Adelândia",1275,"52",0.000784313725490196
"47","Masculino","520017","V486",1,"V48","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - passageiro traumatizado em um acidente de trânsito","Acidentes de transporte","Água Fria de Goiás",2973,"52",0.000336360578540195
"48","Masculino","520017","W780",1,"W78","Inalação do conteúdo gástrico","Inalação do conteúdo gástrico - residência","Todas as outras causas externas","Água Fria de Goiás",2973,"52",0.000336360578540195
"49","Masculino","520017","X990",1,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - residência","Agressões","Água Fria de Goiás",2973,"52",0.000336360578540195
"50","Masculino","520020","W738",1,"W73","Outros afogamentos e submersão especificados","Outros afogamentos e submersão especificados - outros locais especificados","Afogamento e submersão acidentais","Água Limpa",979,"52",0.00102145045965271
"51","Masculino","520020","Y004",1,"Y00","Agressão por meio de um objeto contundente","Agressão por meio de um objeto contundente - rua e estrada","Agressões","Água Limpa",979,"52",0.00102145045965271
"52","Masculino","520025","V093",2,"V09","Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados","Pedestre traumatizado em um acidente de trânsito não especificado","Acidentes de transporte","Águas Lindas de Goiás",103672,"52",1.92916120070993e-05
"53","Masculino","520025","W019",1,"W01","Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]","Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés] - local não especificado","Quedas","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"54","Masculino","520025","W149",1,"W14","Queda de árvore","Queda de árvore - local não especificado","Quedas","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"55","Masculino","520025","W190",1,"W19","Queda sem especificação","Queda sem especificação - residência","Quedas","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"56","Masculino","520025","W748",2,"W74","Afogamento e submersão não especificados","Afogamento e submersão não especificados - outros locais especificados","Afogamento e submersão acidentais","Águas Lindas de Goiás",103672,"52",1.92916120070993e-05
"57","Masculino","520025","W749",1,"W74","Afogamento e submersão não especificados","Afogamento e submersão não especificados - local não especificado","Afogamento e submersão acidentais","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"58","Masculino","520025","W780",1,"W78","Inalação do conteúdo gástrico","Inalação do conteúdo gástrico - residência","Todas as outras causas externas","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"59","Masculino","520025","W840",2,"W84","Riscos não especificados à respiração","Riscos não especificados à respiração - residência","Todas as outras causas externas","Águas Lindas de Goiás",103672,"52",1.92916120070993e-05
"60","Masculino","520025","X670",1,"X67","Auto-intoxicação intencional por outros gases e vapores","Auto-intoxicação intencional por outros gases e vapores - residência","Lesões autoprovocadas intencionalmente","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"61","Masculino","520025","X700",5,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - residência","Lesões autoprovocadas intencionalmente","Águas Lindas de Goiás",103672,"52",4.82290300177483e-05
"62","Masculino","520025","X704",1,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - rua e estrada","Lesões autoprovocadas intencionalmente","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"63","Masculino","520025","X708",1,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - outros locais especificados","Lesões autoprovocadas intencionalmente","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"64","Masculino","520025","X919",1,"X91","Agressão por meio de enforcamento, estrangulamento e sufocação","Agressão por meio de enforcamento, estrangulamento e sufocação - local não especificado","Agressões","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"65","Masculino","520025","X950",3,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - residência","Agressões","Águas Lindas de Goiás",103672,"52",2.8937418010649e-05
"66","Masculino","520025","X954",13,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Águas Lindas de Goiás",103672,"52",0.000125395478046146
"67","Masculino","520025","X958",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - outros locais especificados","Agressões","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"68","Masculino","520025","X959",3,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - local não especificado","Agressões","Águas Lindas de Goiás",103672,"52",2.8937418010649e-05
"69","Masculino","520025","X990",6,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - residência","Agressões","Águas Lindas de Goiás",103672,"52",5.78748360212979e-05
"70","Masculino","520025","X991",2,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - habitação coletiva","Agressões","Águas Lindas de Goiás",103672,"52",1.92916120070993e-05
"71","Masculino","520025","X994",5,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - rua e estrada","Agressões","Águas Lindas de Goiás",103672,"52",4.82290300177483e-05
"72","Masculino","520025","X995",1,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - áreas de comércio e de serviços","Agressões","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"73","Masculino","520025","X999",2,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - local não especificado","Agressões","Águas Lindas de Goiás",103672,"52",1.92916120070993e-05
"74","Masculino","520025","Y000",1,"Y00","Agressão por meio de um objeto contundente","Agressão por meio de um objeto contundente - residência","Agressões","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"75","Masculino","520025","Y004",2,"Y00","Agressão por meio de um objeto contundente","Agressão por meio de um objeto contundente - rua e estrada","Agressões","Águas Lindas de Goiás",103672,"52",1.92916120070993e-05
"76","Masculino","520025","Y008",1,"Y00","Agressão por meio de um objeto contundente","Agressão por meio de um objeto contundente - outros locais especificados","Agressões","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"77","Masculino","520025","Y094",1,"Y09","Agressão por meios não especificados","Agressão por meios não especificados - rua e estrada","Agressões","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"78","Masculino","520025","Y299",1,"Y29","Contato com objeto contundente, intenção não determinada","Contato com objeto contundente, intenção não determinada - local não especificado","(Eventos (fatos) cuja intenção é indeterminada)","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"79","Masculino","520025","Y344",1,"Y34","Fatos ou eventos não especificados e intenção não determinada","Fatos ou eventos não especificados e intenção não determinada - rua e estrada","(Eventos (fatos) cuja intenção é indeterminada)","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"80","Masculino","520025","Y349",2,"Y34","Fatos ou eventos não especificados e intenção não determinada","Fatos ou eventos não especificados e intenção não determinada - local não especificado","(Eventos (fatos) cuja intenção é indeterminada)","Águas Lindas de Goiás",103672,"52",1.92916120070993e-05
"81","Masculino","520025","Y834",1,"Y83","Reação anormal em paciente ou complicação tardia, causadas por intervenção cirúrgica e por outros atos cirúrgicos, sem menção de acidente durante a intervenção","Reação anormal em paciente ou complicação tardia, causadas por outras cirurgias reparadoras, sem menção de acidente durante a intervenção","Todas as outras causas externas","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"82","Masculino","520025","Y850",1,"Y85","Seqüelas de acidentes de transporte","Seqüelas de um acidente de veículo a motor","Todas as outras causas externas","Águas Lindas de Goiás",103672,"52",9.64580600354966e-06
"83","Masculino","520030","V093",2,"V09","Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados","Pedestre traumatizado em um acidente de trânsito não especificado","Acidentes de transporte","Alexânia",13810,"52",0.000144822592324403
"84","Masculino","520030","V099",2,"V09","Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados","Pedestre traumatizado em um acidente de transporte não especificado","Acidentes de transporte","Alexânia",13810,"52",0.000144822592324403
"85","Masculino","520030","V649",1,"V64","Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus","Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus - ocupante não especificado de um veículo de transporte pesado traumatizado em um acidente de trânsito","Acidentes de transporte","Alexânia",13810,"52",7.24112961622013e-05
"86","Masculino","520030","V892",4,"V89","Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)","Pessoa traumatizada em um acidente de trânsito com um veículo a motor não especificado","Acidentes de transporte","Alexânia",13810,"52",0.000289645184648805
"87","Masculino","520030","W699",1,"W69","Afogamento e submersão em águas naturais","Afogamento e submersão em águas naturais - local não especificado","Afogamento e submersão acidentais","Alexânia",13810,"52",7.24112961622013e-05
"88","Masculino","520030","X599",1,"X59","Exposição a fatores não especificados","Exposição a fator não especificado causando outro tr|aumatismo e traumatismo não especificado","Todas as outras causas externas","Alexânia",13810,"52",7.24112961622013e-05
"89","Masculino","520030","X700",1,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - residência","Lesões autoprovocadas intencionalmente","Alexânia",13810,"52",7.24112961622013e-05
"90","Masculino","520030","X814",1,"X81","Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento","Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento - rua e estrada","Lesões autoprovocadas intencionalmente","Alexânia",13810,"52",7.24112961622013e-05
"91","Masculino","520030","X919",1,"X91","Agressão por meio de enforcamento, estrangulamento e sufocação","Agressão por meio de enforcamento, estrangulamento e sufocação - local não especificado","Agressões","Alexânia",13810,"52",7.24112961622013e-05
"92","Masculino","520030","X954",8,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Alexânia",13810,"52",0.00057929036929761
"93","Masculino","520030","X959",2,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - local não especificado","Agressões","Alexânia",13810,"52",0.000144822592324403
"94","Masculino","520030","X999",2,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - local não especificado","Agressões","Alexânia",13810,"52",0.000144822592324403
"95","Masculino","520030","Y090",1,"Y09","Agressão por meios não especificados","Agressão por meios não especificados - residência","Agressões","Alexânia",13810,"52",7.24112961622013e-05
"96","Masculino","520050","V489",1,"V48","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - ocupante não especificado de um automóvel [carro] traumatizado em um acidente de trânsito","Acidentes de transporte","Aloândia",1015,"52",0.000985221674876847
"97","Masculino","520050","V892",1,"V89","Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)","Pessoa traumatizada em um acidente de trânsito com um veículo a motor não especificado","Acidentes de transporte","Aloândia",1015,"52",0.000985221674876847
"98","Masculino","520050","X700",1,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - residência","Lesões autoprovocadas intencionalmente","Aloândia",1015,"52",0.000985221674876847
"99","Masculino","520055","V435",1,"V43","Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete","Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete - condutor [motorista] traumatizado em um acidente de trânsito","Acidentes de transporte","Alto Horizonte",3203,"52",0.000312207305650952
"100","Masculino","520055","W874",1,"W87","Exposição a corrente elétrica não especificada","Exposição a corrente elétrica não especificada - rua e estrada","Todas as outras causas externas","Alto Horizonte",3203,"52",0.000312207305650952
"101","Masculino","520055","X954",3,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Alto Horizonte",3203,"52",0.000936621916952857
"102","Masculino","520060","V470",1,"V47","Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado","Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado - condutor [motorista] traumatizado em um acidente não-de-trânsito","Acidentes de transporte","Alto Paraíso de Goiás",3622,"52",0.000276090557702927
"103","Masculino","520060","W697",1,"W69","Afogamento e submersão em águas naturais","Afogamento e submersão em águas naturais - fazenda","Afogamento e submersão acidentais","Alto Paraíso de Goiás",3622,"52",0.000276090557702927
"104","Masculino","520060","X954",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Alto Paraíso de Goiás",3622,"52",0.000276090557702927
"105","Masculino","520060","X994",1,"X99","Agressão por meio de objeto cortante ou penetrante","Agressão por meio de objeto cortante ou penetrante - rua e estrada","Agressões","Alto Paraíso de Goiás",3622,"52",0.000276090557702927
"106","Masculino","520060","Y280",1,"Y28","Contato com objeto cortante ou penetrante, intenção não determinada","Contato com objeto cortante ou penetrante, intenção não determinada - residência","(Eventos (fatos) cuja intenção é indeterminada)","Alto Paraíso de Goiás",3622,"52",0.000276090557702927
"107","Masculino","520080","V484",2,"V48","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão - pessoa traumatizada ao subir ou descer do veículo","Acidentes de transporte","Alvorada do Norte",4405,"52",0.000454029511918275
"108","Masculino","520080","V499",1,"V49","Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados","Ocupante [qualquer] de um automóvel [carro], traumatizado em um acidente de trânsito não especificado","Acidentes de transporte","Alvorada do Norte",4405,"52",0.000227014755959137
"109","Masculino","520080","W147",1,"W14","Queda de árvore","Queda de árvore - fazenda","Quedas","Alvorada do Norte",4405,"52",0.000227014755959137
"110","Masculino","520080","X238",1,"X23","Contato com abelhas, vespas e vespões","Contato com abelhas, vespas e vespões - outros locais especificados","Todas as outras causas externas","Alvorada do Norte",4405,"52",0.000227014755959137
"111","Masculino","520080","X954",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Alvorada do Norte",4405,"52",0.000227014755959137
"112","Masculino","520080","X959",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - local não especificado","Agressões","Alvorada do Norte",4405,"52",0.000227014755959137
"113","Masculino","520080","Y850",1,"Y85","Seqüelas de acidentes de transporte","Seqüelas de um acidente de veículo a motor","Todas as outras causas externas","Alvorada do Norte",4405,"52",0.000227014755959137
"114","Masculino","520082","X958",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - outros locais especificados","Agressões","Amaralina",1999,"52",0.000500250125062531
"115","Masculino","520082","Y218",1,"Y21","Afogamento e submersão, intenção não determinada","Afogamento e submersão, intenção não determinada - outros locais especificados","(Eventos (fatos) cuja intenção é indeterminada)","Amaralina",1999,"52",0.000500250125062531
"116","Masculino","520085","X700",1,"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação - residência","Lesões autoprovocadas intencionalmente","Americano do Brasil",3158,"52",0.000316656111462951
"117","Masculino","520085","X954",1,"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada - rua e estrada","Agressões","Americano do Brasil",3158,"52",0.000316656111462951
