OBJECTID,ID,CDMUN,NMMUN,SGUF,ISH,TPMAN,CSMAN,TPSIS,TPOPE,SHAPE_Length,SHAPE_Area
36,36,1101005,Governador Jorge Teixeira,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.65638521914256,0.418837794547671
37,37,1101104,Itapuã do Oeste,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.19406627316225,0.335768055369372
38,38,1101203,Ministro Andreazza,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.31585807466695,0.0660535351620113
39,39,1101302,Mirante da Serra,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.97050691695866,0.0986192037002582
40,40,1101401,Monte Negro,RO,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.36891879790288,0.159367759307781
41,41,1101435,Nova União,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.03396110117309,0.0667448309513042
42,42,1101450,Parecis,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.26191200942374,0.211764912950288
43,43,1101468,Pimenteiras do Oeste,RO,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,7.13631401102391,0.501512544209605
44,44,1101476,Primavera de Rondônia,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,1.31023962430088,0.0502559342789641
45,45,1101484,São Felipe D'Oeste,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.14285403729258,0.0449457554035693
46,46,1101492,São Francisco do Guaporé,RO,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,6.44519388491515,0.9109924087781
47,47,1101500,Seringueiras,RO,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.79697745110352,0.313012739210181
48,48,1101559,Teixeirópolis,RO,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,0.952548535984542,0.0380432208718119
49,49,1101609,Theobroma,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.61497961690276,0.181267324965928
50,50,1101708,Urupá,RO,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.57813693030644,0.0688347001406173
51,51,1101757,Vale do Anari,RO,Baixa,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,4.04989103149352,0.258320625230078
52,52,1101807,Vale do Paraíso,RO,Baixa,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.67439391086932,0.0797224209850965
53,53,1200013,Acrelândia,AC,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.29210837232814,0.149057078436532
54,54,1200054,Assis Brasil,AC,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,5.69040991096573,0.411172330369609
55,55,1200104,Brasiléia,AC,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.62257300813536,0.323711492005427
56,56,1200138,Bujari,AC,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.13093059062953,0.249978036960712
57,57,1200179,Capixaba,AC,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.32448444345301,0.140550578979854
58,58,1200203,Cruzeiro do Sul,AC,Média,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,6.48430267316526,0.720030962219221
59,59,1200252,Epitaciolândia,AC,Baixa,Exclusivamente Superficial,Manancial com Média Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.28032327110192,0.136834360234125
60,60,1200302,Feijó,AC,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,9.97737676910296,2.29998135530273
61,61,1200328,Jordão,AC,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,4.68416561586745,0.440808362537911
62,62,1200336,Mâncio Lima,AC,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.71068855409693,0.446746363864195
63,63,1200344,Manoel Urbano,AC,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,7.52667256816077,0.875282785196548
64,64,1200351,Marechal Thaumaturgo,AC,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.60489780553957,0.673750129566033
65,65,1200385,Plácido de Castro,AC,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.47840299271385,0.160413143293502
66,66,1200393,Porto Walter,AC,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.97665967532673,0.529152431715326
67,67,1200401,Rio Branco,AC,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,6.69537921498418,0.728684065729152
68,68,1200427,Rodrigues Alves,AC,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.5178891490187,0.252272444120403
69,69,1200435,Santa Rosa do Purus,AC,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,7.0935334283564,0.505913310690931
70,70,1200450,Senador Guiomard,AC,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.79212635330683,0.191478068733457
71,71,1200500,Sena Madureira,AC,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,8.63288745530172,1.95744105258513
72,72,1200609,Tarauacá,AC,Baixa,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,7.27259668983239,1.65538969083724
73,73,1200708,Xapuri,AC,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,5.07732181586375,0.441746032634794
74,74,1200807,Porto Acre,AC,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.63473066020633,0.214570772769171
75,75,1300029,Alvarães,AM,Baixa,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.93490697640786,0.48220831340523
76,76,1300060,Amaturá,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.63852207683606,0.38689985492493
77,77,1300086,Anamã,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,2.45875715415193,0.199087392879339
78,78,1300102,Anori,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,6.53690495916643,0.491691926308196
79,79,1300144,Apuí,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,10.2650136418934,4.4464305742463
80,80,1300201,Atalaia do Norte,AM,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,17.7297137179701,6.24032146483671
81,81,1300300,Autazes,AM,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,5.76574439572311,0.623049484348288
82,82,1300409,Barcelos,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,23.4494943709974,9.95144687055775
83,83,1300508,Barreirinha,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.56329459631622,0.467962080362604
84,84,1300607,Benjamin Constant,AM,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,10.8303660722926,0.709586745130457
85,85,1300631,Beruri,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,7.69972428588879,1.42400091469864
86,86,1300680,Boa Vista do Ramos,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.39217013916991,0.210674015521419
87,87,1300706,Boca do Acre,AM,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,7.91394404030034,1.80288183699645
88,88,1300805,Borba,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,16.977743691226,3.60709719780641
89,89,1300839,Caapiranga,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.92809227005838,0.769263707937435
90,90,1300904,Canutama,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,12.0065680050556,2.75516780994749
91,91,1301001,Carauari,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,8.74033648859637,2.1025071831148
92,92,1301100,Careiro,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.95586237002873,0.496313359184433
93,93,1301159,Careiro da Várzea,AM,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.11824579561671,0.213800592258239
94,94,1301209,Coari,AM,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,17.1773654257978,4.7237685599466
95,95,1301308,Codajás,AM,Baixa,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,10.3508926653731,1.52174303181453
96,96,1301407,Eirunepé,AM,Baixa,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,8.18006879970376,1.22482444736584
97,97,1301506,Envira,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.79541369719449,0.614995476233818
98,98,1301605,Fonte Boa,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,10.2951386991106,0.988436614443089
99,99,1301654,Guajará,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.82502894781187,0.620887148524551
100,100,1301704,Humaitá,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,13.7440053594309,2.71187680261991
101,101,1301803,Ipixuna,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,6.32283098727622,0.991383385920044
102,102,1301852,Iranduba,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.35451908988779,0.180352722904183
103,103,1301902,Itacoatiara,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,6.17723719647677,0.723473129096469
104,104,1301951,Itamarati,AM,Baixa,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,13.01727497647,2.0658729539319
105,105,1302009,Itapiranga,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.47057335065073,0.352511913842364
106,106,1302108,Japurá,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,15.8217919776446,4.53764118390762
107,107,1302207,Juruá,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,9.46375910601573,1.58249154702253
108,108,1302306,Jutaí,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,20.4172619743468,5.66239255565669
109,109,1302405,Lábrea,AM,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,17.7976397274655,5.60429904932207
110,110,1302504,Manacapuru,AM,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,4.91618774035366,0.596993666726092
111,111,1302553,Manaquiri,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.74241323266611,0.323476683215726
112,112,1302603,Manaus,AM,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,5.702420154801,0.927194867081362
113,113,1302702,Manicoré,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,19.4792082191946,3.95014420179134
114,114,1302801,Maraã,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,11.288149263358,1.36860837842273
115,115,1302900,Maués,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,14.5033209134627,3.26139980738148
116,116,1303007,Nhamundá,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,13.2122813823445,1.14662126959409
117,117,1303106,Nova Olinda do Norte,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,5.44949145710217,0.454248374620792
118,118,1303205,Novo Airão,AM,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,15.1186614077678,3.07111414935826
119,119,1303304,Novo Aripuanã,AM,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,18.1280738661452,3.36933936055296
120,120,1303403,Parintins,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,5.17923267533944,0.484397023784858
121,121,1303502,Pauini,AM,Alta,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,14.6806668533739,3.41207936277413
122,122,1303536,Presidente Figueiredo,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,11.0990601821728,2.06898574594752
123,123,1303569,Rio Preto da Eva,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.61638549109403,0.47291811465821
124,124,1303601,Santa Isabel do Rio Negro,AM,Média,Preponderantemente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,18.6248241553907,5.10244236251365
125,125,1303700,Santo Antônio do Içá,AM,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,8.23298311290594,1.00604992069057
126,126,1303809,São Gabriel da Cachoeira,AM,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,19.4421266134768,8.87115426607329
127,127,1303908,São Paulo de Olivença,AM,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,10.6976477158947,1.60204095983021
128,128,1303957,São Sebastião do Uatumã,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,7.38174984399703,0.865508678194739
129,129,1304005,Silves,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.22761623180161,0.302848670553794
130,130,1304062,Tabatinga,AM,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.69468110256836,0.265979410362289
131,131,1304104,Tapauá,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,22.7132893296643,6.93951160845977
132,132,1304203,Tefé,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,10.1778704718796,1.93059298616697
133,133,1304237,Tonantins,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,5.36596138739724,0.524316097696517
134,134,1304260,Uarini,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,5.8803665359338,0.835982427391812
135,135,1304302,Urucará,AM,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,13.4142272952544,2.2672579655901
136,136,1304401,Urucurituba,AM,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,2.93389244170909,0.234778135928305
137,137,1400027,Amajari,RR,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,14.3614457165819,2.31801732810084
138,138,1400050,Alto Alegre,RR,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,11.7898369492419,2.07084369051341
139,139,1400100,Boa Vista,RR,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,3.69598795658577,0.462691076978841
140,140,1400159,Bonfim,RR,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,5.7654442801379,0.657192044593893
141,141,1400175,Cantá,RR,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,4.34980887636561,0.623181699390019
142,142,1400209,Caracaraí,RR,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,15.9100382311939,3.85009816978595
143,143,1400233,Caroebe,RR,Média,Exclusivamente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,4.80504054396016,0.980373989271943
144,144,1400282,Iracema,RR,Média,Preponderantemente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,10.5211852803997,1.13913911095101
145,145,1400308,Mucajaí,RR,Média,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,7.56924302695952,1.00327822945891
146,146,1400407,Normandia,RR,Média,Preponderantemente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,4.37886260272494,0.566692829069337
147,147,1400456,Pacaraima,RR,Média,Preponderantemente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,6.08859208417525,0.653652965585677
148,148,1400472,Rorainópolis,RR,Média,Preponderantemente Superficial,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,11.6461525179981,2.728176179714
149,149,1400506,São João da Baliza,RR,Baixa,Preponderantemente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,3.55028672430008,0.348077871341259
150,150,1400605,São Luiz,RR,Média,Preponderantemente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,2.10400153571377,0.124061480998904
151,151,1400704,Uiramutã,RR,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,5.70611479287702,0.661315809841251
152,152,1500107,Abaetetuba,PA,Baixa,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,1.81753561547947,0.130908670186379
153,153,1500131,Abel Figueiredo,PA,Alta,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Concessionária Privada,1.30356027942437,0.0500731894236651
154,154,1500206,Acará,PA,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,3.97839387608264,0.353162030152073
155,155,1500305,Afuá,PA,Média,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.41406355954753,0.677435671388099
156,156,1500347,Água Azul do Norte,PA,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,4.63145016082658,0.58189595675266
157,157,1500404,Alenquer,PA,Baixa,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Companhia Estadual,11.269643627934,1.92131568872275
158,158,1500503,Almeirim,PA,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,17.1371015359355,5.92804208776245
159,159,1500602,Altamira,PA,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,29.8979822521594,13.0473362535383
160,160,1500701,Anajás,PA,Baixa,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,4.17243949254761,0.56173159521418
161,161,1500800,Ananindeua,PA,Baixa,Preponderantemente Superficial,Manancial Não Vulnerável,Sistema Integrado,Companhia Estadual,0.929520456712054,0.0154870327576091
162,162,1500859,Anapu,PA,Média,Exclusivamente Subterrânea,Manancial com Baixa Vulnerabilidade,Sistema Isolado,Autarquia Municipal,8.68289891715072,0.968744155519756
163,163,1500909,Augusto Corrêa,PA,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Companhia Estadual,2.18503463411131,0.0893498662566207
164,164,1500958,Aurora do Pará,PA,Média,Exclusivamente Subterrânea,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,2.54508768775293,0.147304721158064
165,165,1501006,Aveiro,PA,Alta,Exclusivamente Superficial,Manancial Não Vulnerável,Sistema Isolado,Autarquia Municipal,7.08910941674324,1.38994863960272
