"","cod_municipio","cod_municipiodv","municipio","Tipo","CEP","Endereço"
"55",260030,2600302,"Agrestina","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55495-000","RUA CAPITÃO CADETE, 36 - 1° ANDAR - EM FRENTE A PRAÇA PADRE CÍCERO, AGRESTINA"
"56",260500,2605004,"Cupira","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55460-970","AVENIDA DESEMBARGADOR FELISMINO GUEDES, S/N, CENTRO"
"57",261020,2610202,"Panelas","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55470-970","RUA CORONEL JOÃO RUFINO, 13 - TÉRREO, CENTRO"
"58",260400,2604007,"Carpina","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55815-040","PRAÇA SÃO JOSÉ, S/N - SECRETARIA DE JUVENTUDE (AO LADO DA PREFEITURA), SÃO JOSÉ"
"59",261060,2610608,"Paudalho","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55825-970","AVENIDA GOVERNADOR MIGUEL ARRAES, S/N - PRÓXIMO AO PÁTIO DA FEIRA E ACADEMIA DA CIDADE, CENTRO"
"60",260875,2608750,"Lagoa Grande","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56395-972","PRAÇA HERMES DE AMORIM / RUA DOS ESTUDANTES, S/N, CENTRO"
"61",260230,2602308,"Bonito","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55680-000","PRAÇA TABELIÃO ANTÔNIO CÉSAR, S/N - ANTIGO PRÉDIO DO GABINETE DA CÂMARA DE VEREADORES, BONITO"
"62",260070,2600708,"Aliança","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55890-970","RUA PEDRO DOMINGOS BRAGA, S/N - AO LADO DA PREFEITURA, CENTRO"
"63",260520,2605202,"Escada","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55500-970","RUA DA MATRIZ, 51, CENTRO"
"64",260910,2609105,"Machados","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55740-000","RUA ANTÔNIO BARBOSA, 93, MACHADOS"
"65",261450,2614501,"Surubim","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55750-000","RUA JOÃO BATISTA, 80, SURUBIM"
"66",261200,2612000,"Sairé","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55695-970","RUA CORONEL JOSÉ PESSOA, S/N, CENTRO"
"67",260080,2600807,"Altinho","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55490-970","RUA DOUTOR JOÃO PESSOA, 37, CENTRO"
"68",261100,2611002,"Petrolândia","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56460-970","PRAÇA DOS TRÊS PODERES, 144, CENTRO"
"69",261260,2612604,"Santa Maria da Boa Vista","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56380-970","PRAÇA GETÚLIO VARGAS, 400 - EM FRENTE A OLIVEIRA LANCHES, CENTRO"
"70",261170,2611705,"Riacho das Almas","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55120-973","DOUTOR MANOEL BORBA, S/N - ESPAÇO OPORTUNIDADE, CENTRO"
"71",261220,2612208,"Salgueiro","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56000-000","RUA BELARMINO ÂNGELO, 600, SALGUEIRO"
"72",260010,2600104,"Afogados da Ingazeira","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56800-970","RUA DOUTOR ROBERTO NOGUEIRA LIMA, 165 - PRÓXIMO AO POSTO DE SAÚDE DO MANDACARU, CENTRO"
"73",260770,2607703,"Itapetim","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56720-970","RUA JUVINO DE SOUZA LIMA, S/N, CENTRO"
"74",261360,2613602,"São José do Egito","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56700-970","RUA JOÃO PESSOA, S/N - CENTRO DE CULTURA, CENTRO"
"75",261570,2615706,"Triunfo","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56870-000","AVENIDA JOSÉ VERÍSSIMO DOS SANTOS, 365 - PRÓXIMO A ACMT, TRIUNFO"
"76",261460,2614600,"Tabira","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56780-970","RUA CORONEL ZUZA BARROS, 2528 - ESTAÇÃO CIDADANIA, CENTRO"
"77",261247,2612471,"Santa Cruz da Baixa Verde","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56895-970","RUA JOÃO ROQUE DA SILVA, 349, CENTRO"
"78",260540,2605400,"Feira Nova","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55715-970","RUA JOAQUIM CORREIA, S/N, CENTRO"
"79",261340,2613404,"São José da Coroa Grande","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55565-000","Rua Antônio Mendes, S/N - APÓS O TEMPLO DA ASSEMBLÉIA DE DEUS, SÃO JOSÉ DA COROA GRANDE"
"80",261485,2614857,"Tamandaré","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55578-000","AVENIDA JOSÉ BEZERRA SOBRINHO, S/N - PRAÇA DA JUVENTUDE, TAMANDARÉ"
"81",260780,2607802,"Itaquitinga","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55950-970","Avenida Antônio Carlos de Almeida, S/N, CENTRO"
"82",260280,2602803,"Buíque","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56537-970","PRAÇA NANO CAMELO, 97, CENTRO"
"83",260810,2608107,"João Alfredo","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55720-970","AVENIDA CORONEL JOSÉ FERREIRA, 102, CENTRO"
"84",260090,2600906,"Amaraji","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55515-970","RUA BARÃO DE FREIXEIRA, 89 - PRÓXIMA A PREFEITURA, CENTRO"
"85",260570,2605707,"Floresta","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56400-970","PRAÇA CORONEL FAUSTO FERRAZ, 156 - SECRETARIA DE POLÍTICAS DA MULHER, CENTRO"
"86",260690,2606903,"Iguaracy","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56840-970","PE - IGUARACI - CENTRO - PRAÇA ANTÔNIO RABELO 57, 02, CENTRO"
"87",260805,2608057,"Jatobá","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56470-970","RUA BOM JARDIM, 01, CENTRO"
"88",261350,2613503,"São José do Belmonte","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56950-970","AVENIDA PRIMO LOPES, 35 - TÉRREO, CENTRO"
"89",261400,2614006,"Serrita","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56140-970","RUA. BARBOSA LIMA,, 63, CENTRO"
"90",260105,2601052,"Araçoiaba","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","53690-000","AVENIDA JOÃO PESSOA GUERRA, 4 B, ARAÇOIABA"
"91",260750,2607505,"Itaíba","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56550-970","RUA NOVA, 50, CENTRO"
"92",260250,2602506,"Brejinho","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56740-970","RUA DO COMÉRCIO, 76 - AO LADO DO MERCADINHO DO KENO, CENTRO"
"93",260660,2606606,"Ibimirim","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56580-970","AVENIDA CASTRO ALVES, 120, CENTRO"
"94",260930,2609303,"Mirandiba","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56980-970","AVENIDA JOSÉ DA SILVA TORRES ARAQUAM, S/N, CENTRO"
"95",260480,2604809,"Cortês","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55525-970","RUA CORONEL JOSÉ BELARMINO, 23, CENTRO"
"96",NA,NA,NA,"Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56450-970","AVENIDA CORONEL GERÔNIMO PIRES, 1111 - MEMORIAL ZÉ PEREIRA E VITALINA, CENTRO"
"97",260370,2603702,"Canhotinho","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55420-970","RUA BARÃO DO RIO BRANCO, 256 - TÉRREO, CENTRO"
"98",260515,2605152,"Dormentes","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56355-000","RODOVIA PE 630,, S/N, DORMENTES"
"99",261180,2611804,"Ribeirão","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55520-970","AVENIDA MÁRIO DOMINGUES, 1914 - CASA B - COHAB, CENTRO"
"100",260220,2602209,"Bom Jardim","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55730-970","AVENIDA ALTO DO CARMO, S/N, CENTRO"
"101",261650,2616506,"Xexéu","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55555-000","AVENIDA MARIO MELO, S/N, XEXÉU"
"102",261480,2614808,"Tacaratu","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56480-970","RUA CAVALCANTE NOZINHO, CASA SECRETARIA DE AGRICULTURA, CENTRO"
"103",261380,2613800,"São Vicente Ferrer","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55860-970","RUA JOÃO DE ARAUJO, 33, CENTRO"
"104",261140,2611408,"Primavera","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55510-970","RUA NOVA AURORA, 41 - VILA JOÃO MURILO, CENTRO"
"105",261000,2610004,"Palmares","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55540-000","AVENIDA VISCONDE DO RIO BRANCO, 1382 - BAIRRO: SÃO SEBASTIÃO, PALMARES"
"106",260260,2602605,"Brejo da Madre de Deus","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55170-970","AVENIDA CLETO CAMPELO, 378, CENTRO"
"107",261290,2612901,"São Benedito do Sul","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55410-970","RUA DOUTOR JOSÉ MARIANO, S/N, CENTRO"
"108",260900,2609006,"Macaparana","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55865-970","RUA FABRÍCIO TAVARES, 47, CENTRO"
"109",261150,2611507,"Quipapá","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55415-970","RUA JOSÉ MACHADO DIAS, 126, CENTRO"
"110",261500,2615003,"Taquaritinga do Norte","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55790-000","RUA BALBINO PEREIRA, 358, TAQUARITINGA DO NORTE"
"111",261050,2610509,"Passira","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55650-970","RUA MARIA PEREIRA DA SILVA, 87, CENTRO"
"112",260920,2609204,"Maraial","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55405-970","RUA DOUTOR JOSÉ HIGINO, S/N, CENTRO"
"113",261580,2615805,"Tupanatinga","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56540-000","AVENIDA 31 DE MARÇO, 72, TUPANATINGA"
"114",260950,2609501,"Nazaré da Mata","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","55800-000","RUA OSVALDO NEVES, S/N - SECRETARIA MUNICIPAL DE AÇÃO SOCIAL E TRABALHO, NAZARÉ DA MATA"
"115",261610,2616100,"Verdejante","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","56120-000","PRAÇA RAIMUNDO TARGINO FERREIRA, 22, VERDEJANTE"
"116",120010,1200104,"Brasiléia","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","69932-970","Avenida Rui Lino - Galeria Chami, 698, CENTRO"
"117",120020,1200203,"Cruzeiro do Sul","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","69980-970","Avenida Boulevard Thaumaturgo, 1148, CENTRO"
"118",120040,1200401,"Rio Branco","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","69918-108","AVENIDA CEARÁ, 3693, 7º BEC"
"119",160030,1600303,"Macapá","Sala do Empreendedor, em parceria com a prefeitura, que realiza atendimento ao público do Sebrae de forma integrada e complementar","68900-099","AVENIDA IRACEMA CARVÃO NUNES, 267, CENTRAL"
"120",160027,1600279,"Laranjal do Jari","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","68920-970","Avenida Independência, 630, AGRESTE"
"121",160050,1600501,"Oiapoque","Estrutura de atendimento do Sebrae/UF (própria ou alugada)","68980-970","Rua Santos Dumont, 228, CENTRO"
